date,BRENT
2019-01-02,54.06
2019-01-03,53.23
2019-01-04,55.64
2019-01-07,57.1
2019-01-08,56.91
2019-01-09,59.46
2019-01-10,60.47
2019-01-11,59.24
2019-01-14,58.8
2019-01-15,58.65
2019-01-16,59.81
2019-01-17,59.85
2019-01-18,62.04
2019-01-22,60.9
2019-01-23,61.05
2019-01-24,61.09
2019-01-25,61.49
2019-01-28,59.71
2019-01-29,60.98
2019-01-30,61.89
2019-01-31,62.46
2019-02-01,61.86
2019-02-04,62.26
2019-02-05,61.67
2019-02-06,62.22
2019-02-07,61.01
2019-02-08,61.37
2019-02-11,61.3
2019-02-12,62.58
2019-02-13,63.27
2019-02-14,64.0
2019-02-15,65.65
2019-02-19,65.86
2019-02-20,66.82
2019-02-21,66.91
2019-02-22,66.91
2019-02-25,64.02
2019-02-26,64.51
2019-02-27,65.55
2019-02-28,65.03
2019-03-01,63.71
2019-03-04,64.44
2019-03-05,64.24
2019-03-06,64.51
2019-03-07,64.82
2019-03-08,65.66
2019-03-11,65.06
2019-03-12,65.33
2019-03-13,65.89
2019-03-14,66.18
2019-03-15,66.11
2019-03-18,66.65
2019-03-19,67.13
2019-03-20,68.35
2019-03-21,68.3
2019-03-22,66.29
2019-03-25,67.37
2019-03-26,67.51
2019-03-27,67.35
2019-03-28,66.08
2019-03-29,67.93
2019-04-01,69.08
2019-04-02,69.68
2019-04-03,69.21
2019-04-04,69.8
2019-04-05,69.93
2019-04-08,71.12
2019-04-09,71.02
2019-04-10,71.63
2019-04-11,71.3
2019-04-12,71.57
2019-04-15,70.9
2019-04-16,70.74
2019-04-17,71.14
2019-04-18,70.71
2019-04-22,70.71
2019-04-23,74.39
2019-04-24,73.59
2019-04-25,74.94
2019-04-26,71.03
2019-04-29,71.22
2019-04-30,72.19
2019-05-01,72.01
2019-05-02,70.56
2019-05-03,71.95
2019-05-06,71.95
2019-05-07,70.98
2019-05-08,71.09
2019-05-09,70.61
2019-05-10,71.63
2019-05-13,72.35
2019-05-14,72.53
2019-05-15,73.09
2019-05-16,74.7
2019-05-17,73.94
2019-05-20,73.21
2019-05-21,72.94
2019-05-22,71.94
2019-05-23,68.37
2019-05-24,67.98
2019-05-28,70.19
2019-05-29,70.64
2019-05-30,69.55
2019-05-31,66.78
2019-06-03,63.16
2019-06-04,63.56
2019-06-05,62.14
2019-06-06,62.77
2019-06-07,64.1
2019-06-10,64.31
2019-06-11,63.56
2019-06-12,61.66
2019-06-13,63.28
2019-06-14,63.13
2019-06-17,62.56
2019-06-18,63.35
2019-06-19,62.85
2019-06-20,65.44
2019-06-21,65.99
2019-06-24,65.16
2019-06-25,66.24
2019-06-26,66.85
2019-06-27,66.78
2019-06-28,67.52
2019-07-01,65.1
2019-07-02,62.72
2019-07-03,63.53
2019-07-08,64.89
2019-07-09,64.3
2019-07-10,66.41
2019-07-11,67.64
2019-07-12,66.65
2019-07-15,66.86
2019-07-16,65.87
2019-07-17,63.67
2019-07-18,60.7
2019-07-19,61.04
2019-07-22,61.96
2019-07-23,62.28
2019-07-24,63.83
2019-07-25,63.47
2019-07-26,62.46
2019-07-29,62.29
2019-07-30,62.55
2019-07-31,64.07
2019-08-01,62.9
2019-08-02,61.12
2019-08-05,59.32
2019-08-06,58.63
2019-08-07,55.03
2019-08-08,56.29
2019-08-09,57.37
2019-08-12,57.13
2019-08-13,59.9
2019-08-14,57.86
2019-08-15,57.37
2019-08-16,59.0
2019-08-19,59.79
2019-08-20,59.03
2019-08-21,60.6
2019-08-22,59.81
2019-08-23,58.64
2019-08-26,58.64
2019-08-27,58.44
2019-08-28,60.42
2019-08-29,60.59
2019-08-30,61.04
2019-09-03,57.93
2019-09-04,60.68
2019-09-05,62.7
2019-09-06,61.28
2019-09-09,63.99
2019-09-10,64.67
2019-09-11,63.02
2019-09-12,60.76
2019-09-13,61.25
2019-09-16,68.42
2019-09-17,65.59
2019-09-18,64.29
2019-09-19,64.25
2019-09-20,65.23
2019-09-23,64.66
2019-09-24,64.13
2019-09-25,62.41
2019-09-26,62.08
2019-09-27,62.48
2019-09-30,60.99
2019-10-01,60.06
2019-10-02,57.92
2019-10-03,58.01
2019-10-04,59.13
2019-10-07,59.46
2019-10-08,58.14
2019-10-09,59.7
2019-10-10,59.08
2019-10-11,60.59
2019-10-14,58.81
2019-10-15,59.19
2019-10-16,59.3
2019-10-17,59.35
2019-10-18,59.96
2019-10-21,58.95
2019-10-22,60.5
2019-10-23,60.52
2019-10-24,61.71
2019-10-25,62.06
2019-10-28,60.39
2019-10-29,61.05
2019-10-30,60.22
2019-10-31,59.3
2019-11-01,60.17
2019-11-04,62.52
2019-11-05,62.72
2019-11-06,62.11
2019-11-07,62.6
2019-11-08,62.0
2019-11-12,62.19
2019-11-13,62.27
2019-11-14,62.46
2019-11-15,63.32
2019-11-18,62.82
2019-11-19,62.37
2019-11-20,63.8
2019-11-21,64.99
2019-11-22,64.83
2019-11-25,64.67
2019-11-26,64.82
2019-11-27,65.03
2019-11-29,64.5
2019-12-02,63.2
2019-12-03,62.95
2019-12-04,65.25
2019-12-05,65.67
2019-12-06,66.5
2019-12-09,66.44
2019-12-10,66.57
2019-12-11,65.37
2019-12-12,66.67
2019-12-13,67.44
2019-12-16,68.04
2019-12-17,68.99
2019-12-18,69.12
2019-12-19,69.7
2019-12-20,68.66
2019-12-23,67.49
2019-12-24,69.26
2019-12-26,69.26
2019-12-27,68.91
2019-12-30,68.3
2019-12-31,67.77
2020-01-02,67.05
2020-01-03,69.08
2020-01-06,70.25
2020-01-07,68.74
2020-01-08,67.31
2020-01-09,66.58
2020-01-10,66.77
2020-01-13,64.14
2020-01-14,64.45
2020-01-15,63.29
2020-01-16,64.63
2020-01-17,64.05
2020-01-21,63.66
2020-01-22,62.11
2020-01-23,61.26
2020-01-24,59.34
2020-01-27,58.54
2020-01-28,59.37
2020-01-29,59.46
2020-01-30,57.72
2020-01-31,57.77
2020-02-03,54.0
2020-02-04,53.9
2020-02-05,55.36
2020-02-06,55.18
2020-02-07,54.53
2020-02-10,53.39
2020-02-11,54.0
2020-02-12,55.54
2020-02-13,56.34
2020-02-14,57.37
2020-02-18,57.35
2020-02-19,59.72
2020-02-20,59.57
2020-02-21,58.6
2020-02-24,56.71
2020-02-25,55.29
2020-02-26,54.96
2020-02-27,52.19
2020-02-28,51.31
2020-03-02,52.52
2020-03-03,52.24
2020-03-04,51.86
2020-03-05,51.29
2020-03-06,45.6
2020-03-09,35.33
2020-03-10,35.57
2020-03-11,34.45
2020-03-12,31.02
2020-03-13,32.25
2020-03-16,27.98
2020-03-17,27.97
2020-03-18,22.79
2020-03-19,23.98
2020-03-20,25.55
2020-03-23,23.75
2020-03-24,24.5
2020-03-25,25.62
2020-03-26,23.55
2020-03-27,22.39
2020-03-30,19.19
2020-03-31,14.85
2020-04-01,14.97
2020-04-02,20.24
2020-04-03,24.33
2020-04-06,22.58
2020-04-07,22.1
2020-04-08,25.22
2020-04-09,20.23
2020-04-14,21.74
2020-04-15,19.8
2020-04-16,18.69
2020-04-17,19.75
2020-04-20,17.36
2020-04-21,9.12
2020-04-22,13.77
2020-04-23,15.06
2020-04-24,15.87
2020-04-27,15.17
2020-04-28,15.6
2020-04-29,17.86
2020-04-30,18.11
2020-05-01,18.49
2020-05-04,20.4
2020-05-05,25.46
2020-05-06,24.2
2020-05-07,24.23
2020-05-11,25.53
2020-05-12,26.67
2020-05-13,27.89
2020-05-14,29.87
2020-05-15,30.95
2020-05-18,33.3
2020-05-19,33.06
2020-05-20,34.76
2020-05-21,34.78
2020-05-22,33.8
2020-05-26,33.95
2020-05-27,32.73
2020-05-28,33.98
2020-05-29,34.15
