date,WTI
2019-01-02,46.31
2019-01-03,46.92
2019-01-04,47.76
2019-01-07,48.27
2019-01-08,49.58
2019-01-09,52.19
2019-01-10,52.42
2019-01-11,51.44
2019-01-14,50.31
2019-01-15,51.8
2019-01-16,52.08
2019-01-17,51.83
2019-01-18,53.6
2019-01-22,52.59
2019-01-23,52.44
2019-01-24,52.94
2019-01-25,53.53
2019-01-28,51.79
2019-01-29,53.07
2019-01-30,54.18
2019-01-31,53.84
2019-02-01,55.29
2019-02-04,54.57
2019-02-05,53.69
2019-02-06,53.94
2019-02-07,52.68
2019-02-08,52.75
2019-02-11,52.43
2019-02-12,53.14
2019-02-13,53.84
2019-02-14,54.4
2019-02-15,55.58
2019-02-19,56.12
2019-02-20,56.9
2019-02-21,56.95
2019-02-22,57.01
2019-02-25,55.32
2019-02-26,55.4
2019-02-27,56.92
2019-02-28,57.21
2019-03-01,55.76
2019-03-04,56.6
2019-03-05,56.55
2019-03-06,56.22
2019-03-07,56.6
2019-03-08,55.77
2019-03-11,56.79
2019-03-12,56.89
2019-03-13,58.27
2019-03-14,58.59
2019-03-15,58.51
2019-03-18,59.09
2019-03-19,59.12
2019-03-20,60.12
2019-03-21,59.98
2019-03-22,58.87
2019-03-25,58.71
2019-03-26,59.87
2019-03-27,59.39
2019-03-28,59.29
2019-03-29,60.19
2019-04-01,61.59
2019-04-02,62.53
2019-04-03,62.46
2019-04-04,62.12
2019-04-05,63.1
2019-04-08,64.37
2019-04-09,64.05
2019-04-10,64.62
2019-04-11,63.61
2019-04-12,63.86
2019-04-15,63.43
2019-04-16,64.01
2019-04-17,63.74
2019-04-18,64.02
2019-04-22,65.66
2019-04-23,66.24
2019-04-24,65.96
2019-04-25,65.23
2019-04-26,63.29
2019-04-29,63.39
2019-04-30,63.83
2019-05-01,63.55
2019-05-02,61.75
2019-05-03,61.98
2019-05-06,62.3
2019-05-07,61.41
2019-05-08,62.13
2019-05-09,61.58
2019-05-10,61.65
2019-05-13,60.97
2019-05-14,61.82
2019-05-15,62.03
2019-05-16,62.93
2019-05-17,62.77
2019-05-20,63.12
2019-05-21,63.02
2019-05-22,61.42
2019-05-23,57.65
2019-05-24,58.4
2019-05-28,58.91
2019-05-29,58.84
2019-05-30,56.47
2019-05-31,53.49
2019-06-03,53.25
2019-06-04,53.5
2019-06-05,51.57
2019-06-06,52.59
2019-06-07,53.95
2019-06-10,53.33
2019-06-11,53.3
2019-06-12,51.13
2019-06-13,52.38
2019-06-14,52.47
2019-06-17,51.94
2019-06-18,53.86
2019-06-19,53.74
2019-06-20,56.88
2019-06-21,57.35
2019-06-24,57.73
2019-06-25,57.63
2019-06-26,59.17
2019-06-27,59.18
2019-06-28,58.2
2019-07-01,58.91
2019-07-02,56.0
2019-07-03,57.06
2019-07-08,57.35
2019-07-09,57.57
2019-07-10,60.28
2019-07-11,59.93
2019-07-12,59.99
2019-07-15,59.3
2019-07-16,57.44
2019-07-17,56.5
2019-07-18,55.08
2019-07-19,55.42
2019-07-22,55.87
2019-07-23,56.58
2019-07-24,55.9
2019-07-25,55.88
2019-07-26,56.04
2019-07-29,56.85
2019-07-30,58.04
2019-07-31,58.53
2019-08-01,53.64
2019-08-02,55.67
2019-08-05,54.63
2019-08-06,53.6
2019-08-07,51.14
2019-08-08,52.6
2019-08-09,54.41
2019-08-12,54.98
2019-08-13,57.05
2019-08-14,55.16
2019-08-15,54.51
2019-08-16,54.83
2019-08-19,56.24
2019-08-20,56.18
2019-08-21,55.65
2019-08-22,55.33
2019-08-23,54.08
2019-08-26,53.54
2019-08-27,54.99
2019-08-28,55.76
2019-08-29,56.67
2019-08-30,55.07
2019-09-03,53.91
2019-09-04,56.22
2019-09-05,56.33
2019-09-06,56.45
2019-09-09,57.88
2019-09-10,57.37
2019-09-11,55.66
2019-09-12,55.13
2019-09-13,54.76
2019-09-16,63.1
2019-09-17,59.26
2019-09-18,58.19
2019-09-19,58.19
2019-09-20,57.92
2019-09-23,58.69
2019-09-24,57.22
2019-09-25,56.38
2019-09-26,56.24
2019-09-27,55.95
2019-09-30,54.09
2019-10-01,53.6
2019-10-02,52.67
2019-10-03,52.41
2019-10-04,52.84
2019-10-07,52.76
2019-10-08,52.64
2019-10-09,52.63
2019-10-10,53.57
2019-10-11,54.76
2019-10-14,53.57
2019-10-15,52.81
2019-10-16,53.42
2019-10-17,53.89
2019-10-18,53.75
2019-10-21,53.28
2019-10-22,54.21
2019-10-23,55.9
2019-10-24,56.11
2019-10-25,56.52
2019-10-28,55.6
2019-10-29,55.34
2019-10-30,54.85
2019-10-31,54.02
2019-11-01,56.04
2019-11-04,56.33
2019-11-05,57.04
2019-11-06,56.15
2019-11-07,56.91
2019-11-08,57.02
2019-11-12,56.67
2019-11-13,56.88
2019-11-14,56.57
2019-11-15,57.54
2019-11-18,56.82
2019-11-19,54.93
2019-11-20,56.71
2019-11-21,58.36
2019-11-22,57.68
2019-11-25,57.79
2019-11-26,58.25
2019-11-27,58.12
2019-11-29,58.12
2019-12-02,55.97
2019-12-03,56.15
2019-12-04,58.46
2019-12-05,58.42
2019-12-06,59.2
2019-12-09,58.99
2019-12-10,59.22
2019-12-11,58.74
2019-12-12,59.18
2019-12-13,60.11
2019-12-16,60.21
2019-12-17,60.88
2019-12-18,60.93
2019-12-19,61.3
2019-12-20,60.43
2019-12-23,60.51
2019-12-24,61.17
2019-12-26,61.72
2019-12-27,61.76
2019-12-30,61.66
2019-12-31,61.14
2020-01-02,61.17
2020-01-03,63.0
2020-01-06,63.27
2020-01-07,62.7
2020-01-08,59.65
2020-01-09,59.56
2020-01-10,59.02
2020-01-13,58.17
2020-01-14,58.34
2020-01-15,57.86
2020-01-16,58.52
2020-01-17,58.55
2020-01-21,58.25
2020-01-22,56.76
2020-01-23,55.51
2020-01-24,54.09
2020-01-27,53.09
2020-01-28,53.33
2020-01-29,53.29
2020-01-30,52.19
2020-01-31,51.58
2020-02-03,50.06
2020-02-04,49.59
2020-02-05,50.87
2020-02-06,50.94
2020-02-07,50.34
2020-02-10,49.59
2020-02-11,50.0
2020-02-12,51.13
2020-02-13,51.41
2020-02-14,52.03
2020-02-18,52.1
2020-02-19,53.31
2020-02-20,53.77
2020-02-21,53.36
2020-02-24,51.36
2020-02-25,49.78
2020-02-26,48.67
2020-02-27,47.17
2020-02-28,44.83
2020-03-02,46.78
2020-03-03,47.27
2020-03-04,46.78
2020-03-05,45.9
2020-03-06,41.14
2020-03-09,31.05
2020-03-10,34.47
2020-03-11,33.13
2020-03-12,31.56
2020-03-13,31.72
2020-03-16,28.96
2020-03-17,26.96
2020-03-18,20.48
2020-03-19,25.09
2020-03-20,19.48
2020-03-23,23.33
2020-03-24,21.03
2020-03-25,20.75
2020-03-26,16.6
2020-03-27,15.48
2020-03-30,14.1
2020-03-31,20.51
2020-04-01,20.28
2020-04-02,25.18
2020-04-03,28.36
2020-04-06,26.21
2020-04-07,23.54
2020-04-08,24.97
2020-04-09,22.9
2020-04-14,20.15
2020-04-15,19.96
2020-04-16,19.82
2020-04-17,18.31
2020-04-20,-36.98
2020-04-21,8.91
2020-04-22,13.64
2020-04-23,15.06
2020-04-24,15.99
2020-04-27,12.17
2020-04-28,12.4
2020-04-29,15.04
2020-04-30,19.23
2020-05-01,19.72
2020-05-04,20.47
2020-05-05,24.56
2020-05-06,23.88
2020-05-07,23.68
2020-05-11,24.02
2020-05-12,25.76
2020-05-13,25.37
2020-05-14,27.4
2020-05-15,29.44
2020-05-18,31.83
2020-05-19,32.3
2020-05-20,33.56
2020-05-21,34.3
2020-05-22,33.49
2020-05-26,34.7
2020-05-27,32.8
2020-05-28,33.67
2020-05-29,35.57
